L1D,L1I,L2,Unrolling,Cycles
2kB,2kB,128kB,8,59725456
2kB,4kB,128kB,16,59608257
2kB,8kB,128kB,32,59447087
4kB,4kB,128kB,16,59477547
4kB,8kB,128kB,32,59287222
8kB,8kB,128kB,32,59249179
16kB,2kB,128kB,8,42539600
16kB,4kB,128kB,16,42480342
16kB,8kB,128kB,32,42348777
32kB,2kB,128kB,8,42278590
32kB,4kB,128kB,16,42185703
32kB,8kB,128kB,32,41936302
32kB,16kB,128kB,32,41924727
32kB,16kB,256kB,32,41908054
32kB,32kB,128kB,32,41915945
32kB,32kB,512kB,32,41904833
32kB,64kB,512kB,32,41901786
64kB,32kB,256kB,32,41907792
