L1D,L1I,L2,Unrolling,Cycles
2kB,2kB,128kB,2,60081042
2kB,2kB,128kB,4,59891554
2kB,2kB,128kB,8,59725456
2kB,2kB,128kB,16,64577590
2kB,2kB,128kB,32,65964857
2kB,2kB,256kB,2,60070840
2kB,2kB,256kB,4,59876289
2kB,2kB,256kB,8,59728803
2kB,2kB,256kB,16,64566189
2kB,2kB,256kB,32,65945624
2kB,2kB,512kB,2,60044481
2kB,2kB,512kB,4,59851598
2kB,2kB,512kB,8,59698478
2kB,2kB,512kB,16,64535491
2kB,2kB,512kB,32,65915695
2kB,2kB,1024kB,2,60049238
2kB,2kB,1024kB,4,59865212
2kB,2kB,1024kB,8,59720922
2kB,2kB,1024kB,16,64582761
2kB,2kB,1024kB,32,65905894
2kB,4kB,128kB,2,60052006
2kB,4kB,128kB,4,59858033
2kB,4kB,128kB,8,59695527
2kB,4kB,128kB,16,59608257
2kB,4kB,128kB,32,64167239
2kB,4kB,256kB,2,60015379
2kB,4kB,256kB,4,59826980
2kB,4kB,256kB,8,59666432
2kB,4kB,256kB,16,59577220
2kB,4kB,256kB,32,64154741
2kB,4kB,512kB,2,59997548
2kB,4kB,512kB,4,59804658
2kB,4kB,512kB,8,59651582
2kB,4kB,512kB,16,59567628
2kB,4kB,512kB,32,64139482
2kB,4kB,1024kB,2,60002142
2kB,4kB,1024kB,4,59818325
2kB,4kB,1024kB,8,59668235
2kB,4kB,1024kB,16,59595748
2kB,4kB,1024kB,32,64132057
2kB,8kB,128kB,2,60027253
2kB,8kB,128kB,4,59839196
2kB,8kB,128kB,8,59682387
2kB,8kB,128kB,16,59582240
2kB,8kB,128kB,32,59447087
2kB,8kB,256kB,2,60028680
2kB,8kB,256kB,4,59843989
2kB,8kB,256kB,8,59679828
2kB,8kB,256kB,16,59588952
2kB,8kB,256kB,32,59433024
2kB,8kB,512kB,2,59989637
2kB,8kB,512kB,4,59796799
2kB,8kB,512kB,8,59640670
2kB,8kB,512kB,16,59558694
2kB,8kB,512kB,32,59419737
2kB,8kB,1024kB,2,60010763
2kB,8kB,1024kB,4,59819360
2kB,8kB,1024kB,8,59684784
2kB,8kB,1024kB,16,59604321
2kB,8kB,1024kB,32,59419589
2kB,16kB,128kB,2,60011401
2kB,16kB,128kB,4,59823426
2kB,16kB,128kB,8,59666611
2kB,16kB,128kB,16,59566667
2kB,16kB,128kB,32,59433718
2kB,16kB,256kB,2,59994356
2kB,16kB,256kB,4,59810595
2kB,16kB,256kB,8,59646506
2kB,16kB,256kB,16,59554474
2kB,16kB,256kB,32,59421670
2kB,16kB,512kB,2,59976177
2kB,16kB,512kB,4,59783328
2kB,16kB,512kB,8,59631870
2kB,16kB,512kB,16,59541266
2kB,16kB,512kB,32,59405973
2kB,16kB,1024kB,2,59987178
2kB,16kB,1024kB,4,59804852
2kB,16kB,1024kB,8,59653552
2kB,16kB,1024kB,16,59582937
2kB,16kB,1024kB,32,59403912
2kB,32kB,128kB,2,60006919
2kB,32kB,128kB,4,59812469
2kB,32kB,128kB,8,59662845
2kB,32kB,128kB,16,59563620
2kB,32kB,128kB,32,59430135
2kB,32kB,256kB,2,60011876
2kB,32kB,256kB,4,59825774
2kB,32kB,256kB,8,59663664
2kB,32kB,256kB,16,59572118
2kB,32kB,256kB,32,59416847
2kB,32kB,512kB,2,59982135
2kB,32kB,512kB,4,59797250
2kB,32kB,512kB,8,59632502
2kB,32kB,512kB,16,59551831
2kB,32kB,512kB,32,59406515
2kB,32kB,1024kB,2,59993107
2kB,32kB,1024kB,4,59802439
2kB,32kB,1024kB,8,59663097
2kB,32kB,1024kB,16,59588134
2kB,32kB,1024kB,32,59407995
2kB,64kB,128kB,2,60006225
2kB,64kB,128kB,4,59800030
2kB,64kB,128kB,8,59656226
2kB,64kB,128kB,16,59561631
2kB,64kB,128kB,32,59429607
2kB,64kB,256kB,2,60009586
2kB,64kB,256kB,4,59826030
2kB,64kB,256kB,8,59661082
2kB,64kB,256kB,16,59568382
2kB,64kB,256kB,32,59416576
2kB,64kB,512kB,2,59991357
2kB,64kB,512kB,4,59809313
2kB,64kB,512kB,8,59642188
2kB,64kB,512kB,16,59561520
2kB,64kB,512kB,32,59401007
2kB,64kB,1024kB,2,59977410
2kB,64kB,1024kB,4,59793795
2kB,64kB,1024kB,8,59649219
2kB,64kB,1024kB,16,59567103
2kB,64kB,1024kB,32,59396985
4kB,2kB,128kB,2,59974493
4kB,2kB,128kB,4,59780093
4kB,2kB,128kB,8,59623404
4kB,2kB,128kB,16,64469137
4kB,2kB,128kB,32,65791709
4kB,2kB,256kB,2,59955953
4kB,2kB,256kB,4,59757661
4kB,2kB,256kB,8,59613751
4kB,2kB,256kB,16,64458181
4kB,2kB,256kB,32,65789195
4kB,2kB,512kB,2,59928798
4kB,2kB,512kB,4,59739548
4kB,2kB,512kB,8,59578497
4kB,2kB,512kB,16,64420371
4kB,2kB,512kB,32,65771653
4kB,2kB,1024kB,2,59920018
4kB,2kB,1024kB,4,59730736
4kB,2kB,1024kB,8,59585682
4kB,2kB,1024kB,16,64457719
4kB,2kB,1024kB,32,65767319
4kB,4kB,128kB,2,59922258
4kB,4kB,128kB,4,59726777
4kB,4kB,128kB,8,59573077
4kB,4kB,128kB,16,59477547
4kB,4kB,128kB,32,64012291
4kB,4kB,256kB,2,59906721
4kB,4kB,256kB,4,59713508
4kB,4kB,256kB,8,59553752
4kB,4kB,256kB,16,59467910
4kB,4kB,256kB,32,63993794
4kB,4kB,512kB,2,59881839
4kB,4kB,512kB,4,59692488
4kB,4kB,512kB,8,59531732
4kB,4kB,512kB,16,59452728
4kB,4kB,512kB,32,63984564
4kB,4kB,1024kB,2,59870034
4kB,4kB,1024kB,4,59681096
4kB,4kB,1024kB,8,59538917
4kB,4kB,1024kB,16,59466457
4kB,4kB,1024kB,32,63998673
4kB,8kB,128kB,2,59919913
4kB,8kB,128kB,4,59721294
4kB,8kB,128kB,8,59575313
4kB,8kB,128kB,16,59474976
4kB,8kB,128kB,32,59287222
4kB,8kB,256kB,2,59898887
4kB,8kB,256kB,4,59708845
4kB,8kB,256kB,8,59556438
4kB,8kB,256kB,16,59460350
4kB,8kB,256kB,32,59276261
4kB,8kB,512kB,2,59872107
4kB,8kB,512kB,4,59679687
4kB,8kB,512kB,8,59523327
