0,Toy Story (1995)
1,Jumanji (1995)
2,Grumpier Old Men (1995)
3,Waiting to Exhale (1995)
4,Father of the Bride Part II (1995)
5,Heat (1995)
6,Sabrina (1995)
7,Tom and Huck (1995)
8,Sudden Death (1995)
9,GoldenEye (1995)
10,American President, The (1995)
11,Dracula: Dead and Loving It (1995)
12,Balto (1995)
13,Nixon (1995)
14,Cutthroat Island (1995)
15,Casino (1995)
16,Sense and Sensibility (1995)
17,Four Rooms (1995)
18,Ace Ventura: When Nature Calls (1995)
19,Money Train (1995)
20,Get Shorty (1995)
21,Copycat (1995)
22,Assassins (1995)
23,Powder (1995)
24,Leaving Las Vegas (1995)
25,Othello (1995)
26,Now and Then (1995)
27,Persuasion (1995)
28,City of Lost Children, The (Cité des enfants perdus, La) (1995)
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,Dangerous Minds (1995)
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,Babe (1995)
33,Carrington (1995)
34,Dead Man Walking (1995)
35,It Takes Two (1995)
36,Clueless (1995)
37,Cry, the Beloved Country (1995)
38,Richard III (1995)
39,Dead Presidents (1995)
40,Restoration (1995)
41,Mortal Kombat (1995)
42,To Die For (1995)
43,How to Make an American Quilt (1995)
44,Seven (a.k.a. Se7en) (1995)
45,Pocahontas (1995)
46,Usual Suspects, The (1995)
47,Mighty Aphrodite (1995)
48,Big Green, The (1995)
49,Georgia (1995)
50,Home for the Holidays (1995)
51,Postman, The (Postino, Il) (1994)
52,Indian in the Cupboard, The (1995)
53,Eye for an Eye (1996)
54,Mr. Holland's Opus (1995)
55,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
56,Two if by Sea (1996)
57,Bio-Dome (1996)
58,Lawnmower Man 2: Beyond Cyberspace (1996)
59,French Twist (Gazon maudit) (1995)
60,Friday (1995)
61,From Dusk Till Dawn (1996)
62,Fair Game (1995)
63,Kicking and Screaming (1995)
64,Misérables, Les (1995)
65,Bed of Roses (1996)
66,Big Bully (1996)
67,Screamers (1995)
68,Crossing Guard, The (1995)
69,Juror, The (1996)
70,White Balloon, The (Badkonake sefid) (1995)
71,Things to Do in Denver When You're Dead (1995)
72,Antonia's Line (Antonia) (1995)
73,Once Upon a Time... When We Were Colored (1995)
74,Angels and Insects (1995)
75,White Squall (1996)
76,Dunston Checks In (1996)
77,Black Sheep (1996)
78,Nick of Time (1995)
79,Mary Reilly (1996)
80,Vampire in Brooklyn (1995)
81,Beautiful Girls (1996)
82,Broken Arrow (1996)
83,Hate (Haine, La) (1995)
84,Heidi Fleiss: Hollywood Madam (1995)
85,City Hall (1996)
86,Bottle Rocket (1996)
87,Mr. Wrong (1996)
88,Unforgettable (1996)
89,Happy Gilmore (1996)
90,Bridges of Madison County, The (1995)
91,Muppet Treasure Island (1996)
92,Braveheart (1995)
93,Taxi Driver (1976)
94,Rumble in the Bronx (Hont faan kui) (1995)
95,Before and After (1996)
96,Anne Frank Remembered (1995)
97,Young Poisoner's Handbook, The (1995)
98,If Lucy Fell (1996)
99,Boys of St. Vincent, The (1992)
100,Boomerang (1992)
101,Chungking Express (Chung Hing sam lam) (1994)
102,Flirting With Disaster (1996)
103,NeverEnding Story III, The (1994)
104,Jade (1995)
105,Down Periscope (1996)
106,Up Close and Personal (1996)
107,Birdcage, The (1996)
108,Brothers McMullen, The (1995)
109,Bad Boys (1995)
